b,t,scale,MW
coal,2021-02-14T00:00:00,1.0,20351.945
coal,2021-02-14T03:00:00,1.0,20351.945
coal,2021-02-14T06:00:00,1.0,20351.945
coal,2021-02-14T09:00:00,1.0,19130.438219902542
coal,2021-02-14T12:00:00,1.0,19514.744961172626
coal,2021-02-14T15:00:00,1.0,20351.945
coal,2021-02-14T18:00:00,1.0,20351.945
coal,2021-02-14T21:00:00,1.0,17636.08819896492
lignite,2021-01-18T00:00:00,1.0,1958.9657973950416
lignite,2021-01-18T03:00:00,1.0,4977.437681193147
lignite,2021-01-18T06:00:00,1.0,13231.951848921493
lignite,2021-01-18T09:00:00,1.0,6056.15233720031
lignite,2021-01-18T12:00:00,1.0,0.0
lignite,2021-01-18T15:00:00,1.0,0.0
lignite,2021-01-18T18:00:00,1.0,0.0
lignite,2021-01-18T21:00:00,1.0,0.0
lignite,2021-01-19T00:00:00,1.0,0.0
lignite,2021-01-19T03:00:00,1.0,0.0
lignite,2021-01-19T06:00:00,1.0,0.0
lignite,2021-01-19T09:00:00,1.0,0.0
lignite,2021-01-19T12:00:00,1.0,0.0
lignite,2021-01-19T15:00:00,1.0,0.0
lignite,2021-01-19T18:00:00,1.0,0.0
lignite,2021-01-19T21:00:00,1.0,0.0
lignite,2021-01-20T00:00:00,1.0,0.0
lignite,2021-01-20T03:00:00,1.0,0.0
lignite,2021-01-20T06:00:00,1.0,0.0
lignite,2021-01-20T09:00:00,1.0,0.0
lignite,2021-01-20T12:00:00,1.0,0.0
lignite,2021-01-20T15:00:00,1.0,0.0
lignite,2021-01-20T18:00:00,1.0,0.0
lignite,2021-01-20T21:00:00,1.0,0.0
lignite,2021-01-21T00:00:00,1.0,0.0
lignite,2021-01-21T03:00:00,1.0,0.0
lignite,2021-01-21T06:00:00,1.0,0.0
lignite,2021-01-21T09:00:00,1.0,0.0
lignite,2021-01-21T12:00:00,1.0,0.0
lignite,2021-01-21T15:00:00,1.0,0.0
lignite,2021-01-21T18:00:00,1.0,0.0
lignite,2021-01-21T21:00:00,1.0,0.0
lignite,2021-01-22T00:00:00,1.0,0.0
lignite,2021-01-22T03:00:00,1.0,0.0
lignite,2021-01-22T06:00:00,1.0,0.0
lignite,2021-01-22T09:00:00,1.0,0.0
lignite,2021-01-22T12:00:00,1.0,0.0
lignite,2021-01-22T15:00:00,1.0,3218.7188889352947
lignite,2021-01-22T18:00:00,1.0,1397.7876058851361
lignite,2021-01-22T21:00:00,1.0,0.0
lignite,2021-01-23T00:00:00,1.0,0.0
lignite,2021-01-23T03:00:00,1.0,428.1635172110073
lignite,2021-01-23T06:00:00,1.0,1524.378625320809
lignite,2021-01-23T09:00:00,1.0,0.0
lignite,2021-01-23T12:00:00,1.0,1267.049375380404
lignite,2021-01-23T15:00:00,1.0,14203.472242952255
lignite,2021-01-23T18:00:00,1.0,12885.840155795227
lignite,2021-01-23T21:00:00,1.0,10625.0629984515
lignite,2021-01-24T00:00:00,1.0,4054.3503039524403
lignite,2021-01-24T03:00:00,1.0,0.0
lignite,2021-01-24T06:00:00,1.0,519.5368643726397
lignite,2021-01-24T09:00:00,1.0,4156.222047512863
lignite,2021-01-24T12:00:00,1.0,5370.322744628575
lignite,2021-01-24T15:00:00,1.0,17366.188742367696
lignite,2021-01-24T18:00:00,1.0,16015.13939291819
lignite,2021-01-24T21:00:00,1.0,13462.049306690464
lignite,2021-01-25T00:00:00,1.0,10211.18848107172
lignite,2021-01-25T03:00:00,1.0,17568.638140165964
lignite,2021-01-25T06:00:00,1.0,19457.035
lignite,2021-01-25T09:00:00,1.0,19457.035
lignite,2021-01-25T12:00:00,1.0,19457.035
lignite,2021-01-25T15:00:00,1.0,19457.035
lignite,2021-01-25T18:00:00,1.0,19457.035
lignite,2021-01-25T21:00:00,1.0,13272.597355105845
lignite,2021-01-26T00:00:00,1.0,10785.794213762514
lignite,2021-01-26T03:00:00,1.0,16132.116691123665
lignite,2021-01-26T06:00:00,1.0,19457.035
lignite,2021-01-26T09:00:00,1.0,19457.035
lignite,2021-01-26T12:00:00,1.0,19457.035
