n,t,scale,MW
DE,2021-02-01T06:00:00,1.0,16001.502616489684
DE,2021-02-01T09:00:00,1.0,18558.050625020907
DE,2021-02-01T12:00:00,1.0,19216.047259176845
DE,2021-02-01T15:00:00,1.0,20668.732785390086
DE,2021-02-01T18:00:00,1.0,17148.349107222464
DE,2021-02-01T21:00:00,1.0,7813.77053002469
DE,2021-02-02T00:00:00,1.0,1212.9526029841268
DE,2021-02-02T03:00:00,1.0,6645.325091026013
DE,2021-02-02T06:00:00,1.0,20504.232131136523
DE,2021-02-02T09:00:00,1.0,22513.97951661385
DE,2021-02-02T12:00:00,1.0,20317.58807004361
DE,2021-02-02T15:00:00,1.0,19744.035853924168
DE,2021-02-02T18:00:00,1.0,14261.181014036965
DE,2021-02-02T21:00:00,1.0,2471.0082740320286
DE,2021-02-03T00:00:00,1.0,0.0
DE,2021-02-03T03:00:00,1.0,1588.2468888601725
DE,2021-02-03T06:00:00,1.0,15661.868689246605
DE,2021-02-03T09:00:00,1.0,19298.73755930357
DE,2021-02-03T12:00:00,1.0,17066.65374125867
DE,2021-02-03T15:00:00,1.0,15760.189749160483
DE,2021-02-03T18:00:00,1.0,11113.561170126264
DE,2021-02-03T21:00:00,1.0,0.0
DE,2021-02-04T00:00:00,1.0,0.0
DE,2021-02-04T03:00:00,1.0,187.1654833771945
DE,2021-02-04T06:00:00,1.0,15035.496108397572
DE,2021-02-04T09:00:00,1.0,16001.984046804433
DE,2021-02-04T12:00:00,1.0,14146.090920058734
DE,2021-02-04T15:00:00,1.0,17802.182238146666
DE,2021-02-04T18:00:00,1.0,14534.895292364241
DE,2021-02-04T21:00:00,1.0,3977.22272098707
DE,2021-02-05T00:00:00,1.0,0.0
DE,2021-02-05T03:00:00,1.0,3185.0952129458615
DE,2021-02-05T06:00:00,1.0,14719.931788725862
DE,2021-02-05T09:00:00,1.0,16455.211841792872
DE,2021-02-05T12:00:00,1.0,13766.94435818582
DE,2021-02-05T15:00:00,1.0,14414.862842244907
DE,2021-02-05T18:00:00,1.0,9698.342144607857
DE,2021-02-05T21:00:00,1.0,0.0
DE,2021-02-06T00:00:00,1.0,0.0
DE,2021-02-06T03:00:00,1.0,0.0
DE,2021-02-06T06:00:00,1.0,0.0
DE,2021-02-06T09:00:00,1.0,0.0
