n,t,scale,MW
DE,2021-02-09T00:00:00,1.0,0.0
DE,2021-02-09T03:00:00,1.0,0.0
DE,2021-02-09T06:00:00,1.0,0.0
DE,2021-02-09T09:00:00,1.0,0.0
DE,2021-02-09T12:00:00,1.0,0.0
DE,2021-02-09T15:00:00,1.0,0.0
DE,2021-02-09T18:00:00,1.0,0.0
DE,2021-02-09T21:00:00,1.0,0.0
DE,2021-02-10T00:00:00,1.0,0.0
DE,2021-02-10T03:00:00,1.0,0.0
DE,2021-02-10T06:00:00,1.0,0.0
DE,2021-02-10T09:00:00,1.0,0.0
DE,2021-02-10T12:00:00,1.0,0.0
DE,2021-02-10T15:00:00,1.0,0.0
DE,2021-02-10T18:00:00,1.0,0.0
DE,2021-02-10T21:00:00,1.0,0.0
DE,2021-02-11T00:00:00,1.0,0.0
DE,2021-02-11T03:00:00,1.0,0.0
DE,2021-02-11T06:00:00,1.0,0.0
DE,2021-02-11T09:00:00,1.0,0.0
DE,2021-02-11T12:00:00,1.0,0.0
DE,2021-02-11T15:00:00,1.0,0.0
DE,2021-02-11T18:00:00,1.0,0.0
DE,2021-02-11T21:00:00,1.0,0.0
DE,2021-02-12T00:00:00,1.0,0.0
DE,2021-02-12T03:00:00,1.0,0.0
DE,2021-02-12T06:00:00,1.0,0.0
DE,2021-02-12T09:00:00,1.0,0.0
DE,2021-02-12T12:00:00,1.0,0.0
DE,2021-02-12T15:00:00,1.0,0.0
DE,2021-02-12T18:00:00,1.0,0.0
DE,2021-02-12T21:00:00,1.0,0.0
DE,2021-02-13T00:00:00,1.0,0.0
DE,2021-02-13T03:00:00,1.0,0.0
DE,2021-02-13T06:00:00,1.0,0.0
DE,2021-02-13T09:00:00,1.0,0.0
DE,2021-02-13T12:00:00,1.0,0.0
DE,2021-02-13T15:00:00,1.0,0.0
DE,2021-02-13T18:00:00,1.0,0.0
DE,2021-02-13T21:00:00,1.0,0.0
DE,2021-02-14T00:00:00,1.0,0.0
DE,2021-02-14T03:00:00,1.0,0.0
DE,2021-02-14T06:00:00,1.0,0.0
DE,2021-02-14T09:00:00,1.0,0.0
DE,2021-02-14T12:00:00,1.0,0.0
DE,2021-02-14T15:00:00,1.0,0.0
DE,2021-02-14T18:00:00,1.0,0.0
DE,2021-02-14T21:00:00,1.0,0.0
