n,k,t,scale,MW
DE,onwind,2021-02-13T09:00:00,1.0,5551.855061570049
DE,onwind,2021-02-13T12:00:00,1.0,5668.406120791825
DE,onwind,2021-02-13T15:00:00,1.0,7642.444059479976
DE,onwind,2021-02-13T18:00:00,1.0,11340.302729810664
DE,onwind,2021-02-13T21:00:00,1.0,11558.609293864225
DE,onwind,2021-02-14T00:00:00,1.0,13313.349788905069
DE,onwind,2021-02-14T03:00:00,1.0,13242.284386642821
DE,onwind,2021-02-14T06:00:00,1.0,13610.54664552308
DE,onwind,2021-02-14T09:00:00,1.0,9864.280028642032
DE,onwind,2021-02-14T12:00:00,1.0,9029.046299980917
DE,onwind,2021-02-14T15:00:00,1.0,17266.238377703845
DE,onwind,2021-02-14T18:00:00,1.0,26951.801604131568
DE,onwind,2021-02-14T21:00:00,1.0,31075.929080935923
DE,offshore,2021-01-18T00:00:00,1.0,5696.183817498163
DE,offshore,2021-01-18T03:00:00,1.0,6656.6660596559805
DE,offshore,2021-01-18T06:00:00,1.0,9524.865424059777
DE,offshore,2021-01-18T09:00:00,1.0,9896.448651709745
DE,offshore,2021-01-18T12:00:00,1.0,10193.553734490722
DE,offshore,2021-01-18T15:00:00,1.0,10559.031877984713
DE,offshore,2021-01-18T18:00:00,1.0,10692.417478124797
DE,offshore,2021-01-18T21:00:00,1.0,10874.666496237785
DE,offshore,2021-01-19T00:00:00,1.0,11071.26217805362
DE,offshore,2021-01-19T03:00:00,1.0,11030.705022711909
DE,offshore,2021-01-19T06:00:00,1.0,11000.708100196978
DE,offshore,2021-01-19T09:00:00,1.0,11097.859414794439
DE,offshore,2021-01-19T12:00:00,1.0,10883.625786615761
DE,offshore,2021-01-19T15:00:00,1.0,10020.739149844401
DE,offshore,2021-01-19T18:00:00,1.0,10008.473549344864
DE,offshore,2021-01-19T21:00:00,1.0,10392.480077936681
DE,offshore,2021-01-20T00:00:00,1.0,11033.52543205942
DE,offshore,2021-01-20T03:00:00,1.0,11163.377157823863
DE,offshore,2021-01-20T06:00:00,1.0,11163.504226014289
DE,offshore,2021-01-20T09:00:00,1.0,11163.623213599076
DE,offshore,2021-01-20T12:00:00,1.0,11163.68519691933
DE,offshore,2021-01-20T15:00:00,1.0,11163.567872689024
DE,offshore,2021-01-20T18:00:00,1.0,11163.738058070838
DE,offshore,2021-01-20T21:00:00,1.0,11163.692062585498
DE,offshore,2021-01-21T00:00:00,1.0,11163.743
DE,offshore,2021-01-21T03:00:00,1.0,11163.743
DE,offshore,2021-01-21T06:00:00,1.0,11163.743
DE,offshore,2021-01-21T09:00:00,1.0,11163.743
DE,offshore,2021-01-21T12:00:00,1.0,11163.732896190055
DE,offshore,2021-01-21T15:00:00,1.0,11163.730721236405
DE,offshore,2021-01-21T18:00:00,1.0,11163.742728293264
DE,offshore,2021-01-21T21:00:00,1.0,11075.039226997867
DE,offshore,2021-01-22T00:00:00,1.0,7316.761850028935
DE,offshore,2021-01-22T03:00:00,1.0,11127.065073734508
DE,offshore,2021-01-22T06:00:00,1.0,11163.153327596188
DE,offshore,2021-01-22T09:00:00,1.0,11158.322064112625
DE,offshore,2021-01-22T12:00:00,1.0,11117.508767751828
DE,offshore,2021-01-22T15:00:00,1.0,11157.829107716816
DE,offshore,2021-01-22T18:00:00,1.0,11117.097945832355
DE,offshore,2021-01-22T21:00:00,1.0,10889.322819393567
DE,offshore,2021-01-23T00:00:00,1.0,8217.978504160683
DE,offshore,2021-01-23T03:00:00,1.0,5996.001027626418
DE,offshore,2021-01-23T06:00:00,1.0,7196.479045269095
DE,offshore,2021-01-23T09:00:00,1.0,9000.076693497293
DE,offshore,2021-01-23T12:00:00,1.0,8936.001133193678
DE,offshore,2021-01-23T15:00:00,1.0,8021.39409282412
DE,offshore,2021-01-23T18:00:00,1.0,4228.493910489085
DE,offshore,2021-01-23T21:00:00,1.0,1292.4757148669773
DE,offshore,2021-01-24T00:00:00,1.0,221.6376462714798
DE,offshore,2021-01-24T03:00:00,1.0,238.45892236785622
DE,offshore,2021-01-24T06:00:00,1.0,147.69004197198424
DE,offshore,2021-01-24T09:00:00,1.0,100.18282487721443
DE,offshore,2021-01-24T12:00:00,1.0,904.097468276395
DE,offshore,2021-01-24T15:00:00,1.0,1327.1728886201518
DE,offshore,2021-01-24T18:00:00,1.0,1341.9249900614952
DE,offshore,2021-01-24T21:00:00,1.0,1171.9606849295187
DE,offshore,2021-01-25T00:00:00,1.0,1254.4120557621238
DE,offshore,2021-01-25T03:00:00,1.0,1564.4421570677748
DE,offshore,2021-01-25T06:00:00,1.0,1828.3434039230676
DE,offshore,2021-01-25T09:00:00,1.0,1216.7976063346148
DE,offshore,2021-01-25T12:00:00,1.0,2493.1656753212196
DE,offshore,2021-01-25T15:00:00,1.0,5310.2465253727005
DE,offshore,2021-01-25T18:00:00,1.0,5377.364501472249
DE,offshore,2021-01-25T21:00:00,1.0,3156.323986764485
DE,offshore,2021-01-26T00:00:00,1.0,697.2268596729813
DE,offshore,2021-01-26T03:00:00,1.0,715.2717269160655
DE,offshore,2021-01-26T06:00:00,1.0,883.4080200146014
DE,offshore,2021-01-26T09:00:00,1.0,1227.0561381387363
DE,offshore,2021-01-26T12:00:00,1.0,1266.8230025213447
DE,offshore,2021-01-26T15:00:00,1.0,1364.4149441711318
DE,offshore,2021-01-26T18:00:00,1.0,1125.4003361275616
DE,offshore,2021-01-26T21:00:00,1.0,1711.1124890397523
DE,offshore,2021-01-27T00:00:00,1.0,1907.8774383693494
DE,offshore,2021-01-27T03:00:00,1.0,1810.2687183356186
DE,offshore,2021-01-27T06:00:00,1.0,2063.0938554967843
DE,offshore,2021-01-27T09:00:00,1.0,2163.8064004842936
DE,offshore,2021-01-27T12:00:00,1.0,1456.4223991213062
DE,offshore,2021-01-27T15:00:00,1.0,1000.3668356568644
DE,offshore,2021-01-27T18:00:00,1.0,1112.4812361735103
DE,offshore,2021-01-27T21:00:00,1.0,1706.9237273618971
DE,offshore,2021-01-28T00:00:00,1.0,1167.9883098929884
DE,offshore,2021-01-28T03:00:00,1.0,596.625257558719
DE,offshore,2021-01-28T06:00:00,1.0,651.5552494583977
DE,offshore,2021-01-28T09:00:00,1.0,1000.3383571636872
DE,offshore,2021-01-28T12:00:00,1.0,945.8969071686529
DE,offshore,2021-01-28T15:00:00,1.0,773.080696725605
DE,offshore,2021-01-28T18:00:00,1.0,1459.8728070482662
DE,offshore,2021-01-28T21:00:00,1.0,1662.3785569882223
DE,offshore,2021-01-29T00:00:00,1.0,2051.283272054751
DE,offshore,2021-01-29T03:00:00,1.0,2083.3902275738296
DE,offshore,2021-01-29T06:00:00,1.0,2106.7734202922793
DE,offshore,2021-01-29T09:00:00,1.0,2129.313497474238
DE,offshore,2021-01-29T12:00:00,1.0,2120.2450565977015
DE,offshore,2021-01-29T15:00:00,1.0,2128.275278741115
DE,offshore,2021-01-29T18:00:00,1.0,2082.938957187825
DE,offshore,2021-01-29T21:00:00,1.0,2086.5769221735954
DE,offshore,2021-01-30T00:00:00,1.0,1573.1733983917095
DE,offshore,2021-01-30T03:00:00,1.0,1108.4336677525905
DE,offshore,2021-01-30T06:00:00,1.0,709.6421544743357
DE,offshore,2021-01-30T09:00:00,1.0,268.08492863900716
DE,offshore,2021-01-30T12:00:00,1.0,197.99625818968602
DE,offshore,2021-01-30T15:00:00,1.0,197.46847898313283
DE,offshore,2021-01-30T18:00:00,1.0,155.23563196628075
DE,offshore,2021-01-30T21:00:00,1.0,318.58070263109437
DE,offshore,2021-01-31T00:00:00,1.0,613.6034098424137
DE,offshore,2021-01-31T03:00:00,1.0,986.7089254478839
DE,offshore,2021-01-31T06:00:00,1.0,1159.9653273681506
DE,offshore,2021-01-31T09:00:00,1.0,921.0199101058197
DE,offshore,2021-01-31T12:00:00,1.0,461.8976057952891
DE,offshore,2021-01-31T15:00:00,1.0,407.89738981640716
DE,offshore,2021-01-31T18:00:00,1.0,758.0787617263346
DE,offshore,2021-01-31T21:00:00,1.0,1237.3600286793671
DE,offshore,2021-02-01T00:00:00,1.0,1593.3743455390397
DE,offshore,2021-02-01T03:00:00,1.0,1981.05790959553
DE,offshore,2021-02-01T06:00:00,1.0,2091.820549459675
DE,offshore,2021-02-01T09:00:00,1.0,1882.705403651333
DE,offshore,2021-02-01T12:00:00,1.0,876.3513374562558
DE,offshore,2021-02-01T15:00:00,1.0,614.2659788856803
DE,offshore,2021-02-01T18:00:00,1.0,275.95356863233224
DE,offshore,2021-02-01T21:00:00,1.0,128.86881331847138
DE,offshore,2021-02-02T00:00:00,1.0,117.48253157617779
DE,offshore,2021-02-02T03:00:00,1.0,62.89572049867333
DE,offshore,2021-02-02T06:00:00,1.0,61.52593879625255
DE,offshore,2021-02-02T09:00:00,1.0,204.55446832670663
DE,offshore,2021-02-02T12:00:00,1.0,353.08968253053797
DE,offshore,2021-02-02T15:00:00,1.0,742.8413838500651
DE,offshore,2021-02-02T18:00:00,1.0,1431.9521293743562
DE,offshore,2021-02-02T21:00:00,1.0,1899.04241823058
DE,offshore,2021-02-03T00:00:00,1.0,1933.1493498884702
DE,offshore,2021-02-03T03:00:00,1.0,2053.2430098283294
DE,offshore,2021-02-03T06:00:00,1.0,2188.562625810708
DE,offshore,2021-02-03T09:00:00,1.0,1725.6383938725412
DE,offshore,2021-02-03T12:00:00,1.0,1599.368366441793
DE,offshore,2021-02-03T15:00:00,1.0,2035.5529029412407
DE,offshore,2021-02-03T18:00:00,1.0,2170.846768030838
DE,offshore,2021-02-03T21:00:00,1.0,2189.5389843314924
DE,offshore,2021-02-04T00:00:00,1.0,2190.7292462224336
DE,offshore,2021-02-04T03:00:00,1.0,2272.9453640887623
DE,offshore,2021-02-04T06:00:00,1.0,2345.536238943426
DE,offshore,2021-02-04T09:00:00,1.0,2233.13690470223
DE,offshore,2021-02-04T12:00:00,1.0,1972.1996002922922
DE,offshore,2021-02-04T15:00:00,1.0,1698.0085734277047
DE,offshore,2021-02-04T18:00:00,1.0,1700.6823958546966
DE,offshore,2021-02-04T21:00:00,1.0,1772.4859898773661
DE,offshore,2021-02-05T00:00:00,1.0,1921.7922152203384
