n,t,scale,MW
DE,2021-02-01T06:00:00,1.0,14367.156630489684
DE,2021-02-01T09:00:00,1.0,16923.704639020907
DE,2021-02-01T12:00:00,1.0,17581.701273176845
DE,2021-02-01T15:00:00,1.0,19034.386799390086
DE,2021-02-01T18:00:00,1.0,15514.003121222466
DE,2021-02-01T21:00:00,1.0,6179.42454402469
DE,2021-02-02T00:00:00,1.0,0.0
DE,2021-02-02T03:00:00,1.0,5010.979105026013
DE,2021-02-02T06:00:00,1.0,18869.886145136523
DE,2021-02-02T09:00:00,1.0,20879.63353061385
DE,2021-02-02T12:00:00,1.0,18683.24208404361
DE,2021-02-02T15:00:00,1.0,18109.689867924168
DE,2021-02-02T18:00:00,1.0,12626.835028036965
DE,2021-02-02T21:00:00,1.0,836.6622880320283
DE,2021-02-03T00:00:00,1.0,0.0
DE,2021-02-03T03:00:00,1.0,0.0
DE,2021-02-03T06:00:00,1.0,14027.522703246605
DE,2021-02-03T09:00:00,1.0,17664.39157330357
DE,2021-02-03T12:00:00,1.0,15432.30775525867
DE,2021-02-03T15:00:00,1.0,14125.843763160483
DE,2021-02-03T18:00:00,1.0,9479.215184126264
DE,2021-02-03T21:00:00,1.0,0.0
DE,2021-02-04T00:00:00,1.0,0.0
DE,2021-02-04T03:00:00,1.0,0.0
DE,2021-02-04T06:00:00,1.0,13401.150122397572
DE,2021-02-04T09:00:00,1.0,14367.638060804433
DE,2021-02-04T12:00:00,1.0,12511.744934058734
DE,2021-02-04T15:00:00,1.0,16167.836252146666
DE,2021-02-04T18:00:00,1.0,12900.54930636424
DE,2021-02-04T21:00:00,1.0,2342.8767349870695
DE,2021-02-05T00:00:00,1.0,0.0
DE,2021-02-05T03:00:00,1.0,1550.7492269458612
DE,2021-02-05T06:00:00,1.0,13085.585802725862
DE,2021-02-05T09:00:00,1.0,14820.865855792872
DE,2021-02-05T12:00:00,1.0,12132.598372185821
DE,2021-02-05T15:00:00,1.0,12780.516856244907
DE,2021-02-05T18:00:00,1.0,8063.996158607856
DE,2021-02-05T21:00:00,1.0,0.0
DE,2021-02-06T00:00:00,1.0,0.0
DE,2021-02-06T03:00:00,1.0,0.0
DE,2021-02-06T06:00:00,1.0,0.0
DE,2021-02-06T09:00:00,1.0,0.0
DE,2021-02-06T12:00:00,1.0,0.0
DE,2021-02-06T15:00:00,1.0,0.0
DE,2021-02-06T18:00:00,1.0,0.0
DE,2021-02-06T21:00:00,1.0,0.0
DE,2021-02-07T00:00:00,1.0,0.0
DE,2021-02-07T03:00:00,1.0,0.0
DE,2021-02-07T06:00:00,1.0,0.0
DE,2021-02-07T09:00:00,1.0,0.0
DE,2021-02-07T12:00:00,1.0,0.0
DE,2021-02-07T15:00:00,1.0,0.0
DE,2021-02-07T18:00:00,1.0,0.0
DE,2021-02-07T21:00:00,1.0,0.0
DE,2021-02-08T00:00:00,1.0,0.0
DE,2021-02-08T03:00:00,1.0,0.0
DE,2021-02-08T06:00:00,1.0,0.0
DE,2021-02-08T09:00:00,1.0,0.0
DE,2021-02-08T12:00:00,1.0,0.0
DE,2021-02-08T15:00:00,1.0,0.0
DE,2021-02-08T18:00:00,1.0,0.0
DE,2021-02-08T21:00:00,1.0,0.0
DE,2021-02-09T00:00:00,1.0,0.0
DE,2021-02-09T03:00:00,1.0,0.0
DE,2021-02-09T06:00:00,1.0,1001.8943322332179
DE,2021-02-09T09:00:00,1.0,200.14073526494576
DE,2021-02-09T12:00:00,1.0,2081.5997082025624
DE,2021-02-09T15:00:00,1.0,6097.72819472069
DE,2021-02-09T18:00:00,1.0,2949.332552193109
DE,2021-02-09T21:00:00,1.0,0.0
DE,2021-02-10T00:00:00,1.0,0.0
DE,2021-02-10T03:00:00,1.0,0.0
DE,2021-02-10T06:00:00,1.0,1604.211256900171
DE,2021-02-10T09:00:00,1.0,0.0
DE,2021-02-10T12:00:00,1.0,0.0
DE,2021-02-10T15:00:00,1.0,0.0
DE,2021-02-10T18:00:00,1.0,0.0
DE,2021-02-10T21:00:00,1.0,0.0
DE,2021-02-11T00:00:00,1.0,0.0
DE,2021-02-11T03:00:00,1.0,0.0
DE,2021-02-11T06:00:00,1.0,9655.272169243523
DE,2021-02-11T09:00:00,1.0,7306.060164631442
DE,2021-02-11T12:00:00,1.0,7134.090212688986
DE,2021-02-11T15:00:00,1.0,12803.262552659136
DE,2021-02-11T18:00:00,1.0,6485.684847426694
DE,2021-02-11T21:00:00,1.0,0.0
DE,2021-02-12T00:00:00,1.0,0.0
DE,2021-02-12T03:00:00,1.0,0.0
DE,2021-02-12T06:00:00,1.0,0.0
DE,2021-02-12T09:00:00,1.0,0.0
DE,2021-02-12T12:00:00,1.0,0.0
DE,2021-02-12T15:00:00,1.0,0.0
DE,2021-02-12T18:00:00,1.0,0.0
DE,2021-02-12T21:00:00,1.0,0.0
DE,2021-02-13T00:00:00,1.0,0.0
DE,2021-02-13T03:00:00,1.0,0.0
DE,2021-02-13T06:00:00,1.0,0.0
DE,2021-02-13T09:00:00,1.0,0.0
DE,2021-02-13T12:00:00,1.0,0.0
DE,2021-02-13T15:00:00,1.0,1036.1232079912825
DE,2021-02-13T18:00:00,1.0,0.0
DE,2021-02-13T21:00:00,1.0,0.0
DE,2021-02-14T00:00:00,1.0,0.0
DE,2021-02-14T03:00:00,1.0,0.0
DE,2021-02-14T06:00:00,1.0,0.0
DE,2021-02-14T09:00:00,1.0,0.0
DE,2021-02-14T12:00:00,1.0,0.0
DE,2021-02-14T15:00:00,1.0,0.0
DE,2021-02-14T18:00:00,1.0,0.0
DE,2021-02-14T21:00:00,1.0,0.0
