scenario,scope,carrier,capacity_gw,mean_cf,min_cf,max_cf,available_energy_gwh
moderate,post-buffer,solar,48.77125402000001,0.07847297039221,0.0,0.6755103859936892,642.9738290140056
moderate,post-buffer,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
moderate,full-window,onwind,73.3320659,0.24439113954385516,0.0,0.9999999685828747,12043.38720507289
moderate,full-window,offwind-ac,11.163743,0.4786390163083269,0.0,1.0,3590.7667943877877
moderate,full-window,offwind-dc,0.0,,0.0,1.0,0.0
moderate,full-window,offwind-float,0.0,,0.0,1.0,0.0
moderate,full-window,solar,48.77125402000001,0.03733031892911365,0.0,0.6755103859936892,1223.4744259176878
moderate,full-window,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
severe,pre-buffer,onwind,73.3320659,0.5068657314696019,0.002725827222071689,0.9999999685828747,6244.477885393533
severe,pre-buffer,offwind-ac,11.163743,0.7700129660768946,0.0004694256963696892,1.0,1444.1661124716288
severe,pre-buffer,offwind-dc,0.0,,3.5743140089344374e-05,1.0,0.0
severe,pre-buffer,offwind-float,0.0,,0.013507809225820996,1.0,0.0
severe,pre-buffer,solar,48.77125402000001,0.03797981821215831,0.0,0.363304476210175,311.190324758644
severe,pre-buffer,solar-hsat,0.0,,0.0,0.34287291684883153,0.0
severe,transition-in,onwind,73.3320659,0.09292397245672837,0.0,0.429856304679896,327.08672985055637
severe,transition-in,offwind-ac,11.163743,0.17462674385184038,0.02270071769903819,0.5152645919458715,93.57542828586125
severe,transition-in,offwind-dc,0.0,,0.0,0.5531072639837818,0.0
severe,transition-in,offwind-float,0.0,,0.02212654913720688,0.2423821029313788,0.0
severe,transition-in,solar,48.77125402000001,0.028465319890670516,0.0,0.41117471486851764,66.63788866312562
severe,transition-in,solar-hsat,0.0,,0.0,0.3979250699652043,0.0
severe,plateau,onwind,73.3320659,0.04676450884150144,0.0,0.1959260144658867,823.0411305950679
severe,plateau,offwind-ac,11.163743,0.12768310495777996,0.0,0.2213749405188368,342.1011286057635
severe,plateau,offwind-dc,0.0,,0.0,0.2213750000000001,0.0
severe,plateau,offwind-float,0.0,,0.0,0.22136000425333388,0.0
severe,plateau,solar,48.77125402000001,0.0069322936898352245,0.0,0.08613733371090156,81.14319755716724
severe,plateau,solar-hsat,0.0,,0.0,0.08363200600702282,0.0
severe,transition-out,onwind,73.3320659,0.41338403881250974,0.008322145901146426,0.9637053544183796,1455.0866676579421
severe,transition-out,offwind-ac,11.163743,0.5320422446372018,0.2064009211643317,0.8791195121738977,285.0999784450968
severe,transition-out,offwind-dc,0.0,,0.2199607221078295,0.879119512173898,0.0
severe,transition-out,offwind-float,0.0,,0.1602955630459375,0.8791082419741316,0.0
severe,transition-out,solar,48.77125402000001,0.012067380952838748,0.0,0.1058730890910775,28.2499824867364
severe,transition-out,solar-hsat,0.0,,0.0,0.10268080301497523,0.0
severe,core,onwind,73.3320659,0.1057329364966779,0.0,0.9637053544183796,2605.2145281035664
severe,core,offwind-ac,11.163743,0.19215493046827742,0.0,0.8791195121738977,720.7765353367214
severe,core,offwind-dc,0.0,,0.0,0.879119512173898,0.0
severe,core,offwind-float,0.0,,0.0,0.8791082419741316,0.0
severe,core,solar,48.77125402000001,0.01074202418466934,0.0,0.41117471486851764,176.03106870702928
severe,core,solar-hsat,0.0,,0.0,0.3979250699652043,0.0
severe,post-buffer,onwind,73.3320659,0.19040947311874254,3.781296172976627e-05,0.9469742127216686,2345.804165162288
severe,post-buffer,offwind-ac,11.163743,0.6239081865202012,0.0030317440147045564,1.0,1170.1453091844755
severe,post-buffer,offwind-dc,0.0,,0.0,1.0,0.0
severe,post-buffer,offwind-float,0.0,,0.005613670813518482,0.9999759859411101,0.0
severe,post-buffer,solar,48.77125402000001,0.07847297039221,0.0,0.6755103859936892,642.9738290140056
severe,post-buffer,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
severe,full-window,onwind,73.3320659,0.22718526939542505,0.0,0.9999999685828747,11195.496578659388
severe,full-window,offwind-ac,11.163743,0.4445577533834127,0.0,1.0,3335.087956992825
severe,full-window,offwind-dc,0.0,,0.0,1.0,0.0
severe,full-window,offwind-float,0.0,,0.0,1.0,0.0
severe,full-window,solar,48.77125402000001,0.03448420924342675,0.0,0.6755103859936892,1130.1952224796787
severe,full-window,solar-hsat,0.0,,0.0,0.6759502933149059,0.0
extreme,pre-buffer,onwind,73.3320659,0.5068657314696019,0.002725827222071689,0.9999999685828747,6244.477885393533
extreme,pre-buffer,offwind-ac,11.163743,0.7700129660768946,0.0004694256963696892,1.0,1444.1661124716288
extreme,pre-buffer,offwind-dc,0.0,,3.5743140089344374e-05,1.0,0.0
extreme,pre-buffer,offwind-float,0.0,,0.013507809225820996,1.0,0.0
extreme,pre-buffer,solar,48.77125402000001,0.03797981821215831,0.0,0.363304476210175,311.190324758644
extreme,pre-buffer,solar-hsat,0.0,,0.0,0.34287291684883153,0.0
extreme,transition-in,onwind,73.3320659,0.08123463224712296,0.0,0.3872263187348319,285.9409634547978
extreme,transition-in,offwind-ac,11.163743,0.1587480809096661,0.020884660283115135,0.5015247473437001,85.0666932968985
extreme,transition-in,offwind-dc,0.0,,0.0,0.5383583214516163,0.0
extreme,transition-in,offwind-float,0.0,,0.02212654913720688,0.232647212642116,0.0
extreme,transition-in,solar,48.77125402000001,0.027566603383774587,0.0,0.4093086729924596,64.53397517273578
extreme,transition-in,solar-hsat,0.0,,0.0,0.3961191591996899,0.0
extreme,plateau,onwind,73.3320659,0.02338225442075072,0.0,0.09796300723294335,411.52056529753395
extreme,plateau,offwind-ac,11.163743,0.07660986297466799,0.0,0.1328249643113021,205.26067716345813
extreme,plateau,offwind-dc,0.0,,0.0,0.13282500000000008,0.0
extreme,plateau,offwind-float,0.0,,0.0,0.13281600255200035,0.0
extreme,plateau,solar,48.77125402000001,0.004621529126556815,0.0,0.05742488914060102,54.09546503811148
extreme,plateau,solar-hsat,0.0,,0.0,0.055754670671348525,0.0
