t,scale,MW
2021-02-05T12:00:00,1.0,4928.0393721858345
2021-02-05T15:00:00,1.0,5575.957856244924
2021-02-05T18:00:00,1.0,859.437158607856
2021-02-05T21:00:00,1.0,0.0
2021-02-06T00:00:00,1.0,0.0
2021-02-06T03:00:00,1.0,0.0
2021-02-06T06:00:00,1.0,0.0
2021-02-06T09:00:00,1.0,0.0
2021-02-06T12:00:00,1.0,0.0
2021-02-06T15:00:00,1.0,0.0
2021-02-06T18:00:00,1.0,0.0
2021-02-06T21:00:00,1.0,0.0
2021-02-07T00:00:00,1.0,0.0
2021-02-07T03:00:00,1.0,0.0
2021-02-07T06:00:00,1.0,0.0
2021-02-07T09:00:00,1.0,0.0
2021-02-07T12:00:00,1.0,0.0
2021-02-07T15:00:00,1.0,0.0
2021-02-07T18:00:00,1.0,0.0
2021-02-07T21:00:00,1.0,0.0
2021-02-08T00:00:00,1.0,0.0
2021-02-08T03:00:00,1.0,0.0
2021-02-08T06:00:00,1.0,0.0
2021-02-08T09:00:00,1.0,0.0
2021-02-08T12:00:00,1.0,0.0
2021-02-08T15:00:00,1.0,0.0
2021-02-08T18:00:00,1.0,0.0
2021-02-08T21:00:00,1.0,0.0
2021-02-09T00:00:00,1.0,0.0
2021-02-09T03:00:00,1.0,0.0
2021-02-09T06:00:00,1.0,0.0
2021-02-09T09:00:00,1.0,0.0
2021-02-09T12:00:00,1.0,0.0
2021-02-09T15:00:00,1.0,0.0
2021-02-09T18:00:00,1.0,0.0
2021-02-09T21:00:00,1.0,0.0
2021-02-10T00:00:00,1.0,0.0
2021-02-10T03:00:00,1.0,0.0
2021-02-10T06:00:00,1.0,0.0
2021-02-10T09:00:00,1.0,0.0
2021-02-10T12:00:00,1.0,0.0
2021-02-10T15:00:00,1.0,0.0
2021-02-10T18:00:00,1.0,0.0
2021-02-10T21:00:00,1.0,0.0
2021-02-11T00:00:00,1.0,0.0
2021-02-11T03:00:00,1.0,0.0
2021-02-11T06:00:00,1.0,2450.7131692435432
2021-02-11T09:00:00,1.0,101.50116463144514
2021-02-11T12:00:00,1.0,0.0
2021-02-11T15:00:00,1.0,5598.703552659143
2021-02-11T18:00:00,1.0,0.0
2021-02-11T21:00:00,1.0,0.0
2021-02-12T00:00:00,1.0,0.0
2021-02-12T03:00:00,1.0,0.0
2021-02-12T06:00:00,1.0,0.0
2021-02-12T09:00:00,1.0,0.0
2021-02-12T12:00:00,1.0,0.0
2021-02-12T15:00:00,1.0,0.0
2021-02-12T18:00:00,1.0,0.0
2021-02-12T21:00:00,1.0,0.0
2021-02-13T00:00:00,1.0,0.0
2021-02-13T03:00:00,1.0,0.0
2021-02-13T06:00:00,1.0,0.0
2021-02-13T09:00:00,1.0,0.0
2021-02-13T12:00:00,1.0,0.0
2021-02-13T15:00:00,1.0,0.0
2021-02-13T18:00:00,1.0,0.0
2021-02-13T21:00:00,1.0,0.0
2021-02-14T00:00:00,1.0,0.0
2021-02-14T03:00:00,1.0,0.0
2021-02-14T06:00:00,1.0,0.0
2021-02-14T09:00:00,1.0,0.0
2021-02-14T12:00:00,1.0,0.0
2021-02-14T15:00:00,1.0,0.0
2021-02-14T18:00:00,1.0,0.0
2021-02-14T21:00:00,1.0,0.0
