timestamp,scenario,load_shedding_GW
2021-02-10 21:00:00,No nuclear,0.0
2021-02-11 00:00:00,No nuclear,0.0
2021-02-11 03:00:00,No nuclear,0.0
2021-02-11 06:00:00,No nuclear,6.50071316924352
2021-02-11 09:00:00,No nuclear,4.151501164631452
2021-02-11 12:00:00,No nuclear,3.979531212688967
2021-02-11 15:00:00,No nuclear,9.648703552659132
2021-02-11 18:00:00,No nuclear,3.3311258474266707
2021-02-11 21:00:00,No nuclear,0.0
2021-02-12 00:00:00,No nuclear,0.0
2021-02-12 03:00:00,No nuclear,0.0
2021-02-12 06:00:00,No nuclear,0.0
2021-02-12 09:00:00,No nuclear,0.0
2021-02-12 12:00:00,No nuclear,0.0
2021-02-12 15:00:00,No nuclear,0.0
2021-02-12 18:00:00,No nuclear,0.0
2021-02-12 21:00:00,No nuclear,0.0
2021-02-13 00:00:00,No nuclear,0.0
2021-02-13 03:00:00,No nuclear,0.0
2021-02-13 06:00:00,No nuclear,0.0
2021-02-13 09:00:00,No nuclear,0.0
2021-02-13 12:00:00,No nuclear,0.0
2021-02-13 15:00:00,No nuclear,0.0
2021-02-13 18:00:00,No nuclear,0.0
2021-02-13 21:00:00,No nuclear,0.0
2021-02-14 00:00:00,No nuclear,0.0
2021-02-14 03:00:00,No nuclear,0.0
2021-02-14 06:00:00,No nuclear,0.0
2021-02-14 09:00:00,No nuclear,0.0
2021-02-14 12:00:00,No nuclear,0.0
2021-02-14 15:00:00,No nuclear,0.0
2021-02-14 18:00:00,No nuclear,0.0
2021-02-14 21:00:00,No nuclear,0.0
2021-01-18 00:00:00,+4.5 GW SMR,0.0
2021-01-18 03:00:00,+4.5 GW SMR,0.0
2021-01-18 06:00:00,+4.5 GW SMR,0.0
2021-01-18 09:00:00,+4.5 GW SMR,0.0
2021-01-18 12:00:00,+4.5 GW SMR,0.0
2021-01-18 15:00:00,+4.5 GW SMR,0.0
2021-01-18 18:00:00,+4.5 GW SMR,0.0
2021-01-18 21:00:00,+4.5 GW SMR,0.0
2021-01-19 00:00:00,+4.5 GW SMR,0.0
2021-01-19 03:00:00,+4.5 GW SMR,0.0
2021-01-19 06:00:00,+4.5 GW SMR,0.0
2021-01-19 09:00:00,+4.5 GW SMR,0.0
2021-01-19 12:00:00,+4.5 GW SMR,0.0
2021-01-19 15:00:00,+4.5 GW SMR,0.0
2021-01-19 18:00:00,+4.5 GW SMR,0.0
2021-01-19 21:00:00,+4.5 GW SMR,0.0
2021-01-20 00:00:00,+4.5 GW SMR,0.0
2021-01-20 03:00:00,+4.5 GW SMR,0.0
2021-01-20 06:00:00,+4.5 GW SMR,0.0
2021-01-20 09:00:00,+4.5 GW SMR,0.0
2021-01-20 12:00:00,+4.5 GW SMR,0.0
2021-01-20 15:00:00,+4.5 GW SMR,0.0
2021-01-20 18:00:00,+4.5 GW SMR,0.0
2021-01-20 21:00:00,+4.5 GW SMR,0.0
2021-01-21 00:00:00,+4.5 GW SMR,0.0
2021-01-21 03:00:00,+4.5 GW SMR,0.0
2021-01-21 06:00:00,+4.5 GW SMR,0.0
2021-01-21 09:00:00,+4.5 GW SMR,0.0
2021-01-21 12:00:00,+4.5 GW SMR,0.0
2021-01-21 15:00:00,+4.5 GW SMR,0.0
2021-01-21 18:00:00,+4.5 GW SMR,0.0
2021-01-21 21:00:00,+4.5 GW SMR,0.0
2021-01-22 00:00:00,+4.5 GW SMR,0.0
2021-01-22 03:00:00,+4.5 GW SMR,0.0
2021-01-22 06:00:00,+4.5 GW SMR,0.0
2021-01-22 09:00:00,+4.5 GW SMR,0.0
2021-01-22 12:00:00,+4.5 GW SMR,0.0
2021-01-22 15:00:00,+4.5 GW SMR,0.0
2021-01-22 18:00:00,+4.5 GW SMR,0.0
2021-01-22 21:00:00,+4.5 GW SMR,0.0
2021-01-23 00:00:00,+4.5 GW SMR,0.0
2021-01-23 03:00:00,+4.5 GW SMR,0.0
2021-01-23 06:00:00,+4.5 GW SMR,0.0
2021-01-23 09:00:00,+4.5 GW SMR,0.0
2021-01-23 12:00:00,+4.5 GW SMR,0.0
2021-01-23 15:00:00,+4.5 GW SMR,0.0
2021-01-23 18:00:00,+4.5 GW SMR,0.0
2021-01-23 21:00:00,+4.5 GW SMR,0.0
2021-01-24 00:00:00,+4.5 GW SMR,0.0
2021-01-24 03:00:00,+4.5 GW SMR,0.0
2021-01-24 06:00:00,+4.5 GW SMR,0.0
2021-01-24 09:00:00,+4.5 GW SMR,0.0
2021-01-24 12:00:00,+4.5 GW SMR,0.0
2021-01-24 15:00:00,+4.5 GW SMR,0.0
2021-01-24 18:00:00,+4.5 GW SMR,0.0
2021-01-24 21:00:00,+4.5 GW SMR,0.0
2021-01-25 00:00:00,+4.5 GW SMR,0.0
2021-01-25 03:00:00,+4.5 GW SMR,0.0
2021-01-25 06:00:00,+4.5 GW SMR,5.707400730422667
2021-01-25 09:00:00,+4.5 GW SMR,2.6331016897622903
2021-01-25 12:00:00,+4.5 GW SMR,0.0
2021-01-25 15:00:00,+4.5 GW SMR,2.0453384572107414
