timestamp,scenario,cumulative_unserved_energy_GWh
2021-01-31 06:00:00,No nuclear,834.4711015459494
2021-01-31 09:00:00,No nuclear,835.2261708470342
2021-01-31 12:00:00,No nuclear,835.2261708470342
2021-01-31 15:00:00,No nuclear,846.0146682821718
2021-01-31 18:00:00,No nuclear,849.6325877727827
2021-01-31 21:00:00,No nuclear,849.6325877727827
2021-02-01 00:00:00,No nuclear,849.6325877727827
2021-02-01 03:00:00,No nuclear,849.6325877727827
2021-02-01 06:00:00,No nuclear,883.2703806642518
2021-02-01 09:00:00,No nuclear,924.5778175813145
2021-02-01 12:00:00,No nuclear,967.8592444008449
2021-02-01 15:00:00,No nuclear,1015.4987277990151
2021-02-01 18:00:00,No nuclear,1052.5770601626825
2021-02-01 21:00:00,No nuclear,1061.6516567947565
2021-02-02 00:00:00,No nuclear,1061.6516567947565
2021-02-02 03:00:00,No nuclear,1067.2209171098343
2021-02-02 06:00:00,No nuclear,1114.3668985452437
2021-02-02 09:00:00,No nuclear,1167.5421221370852
2021-02-02 12:00:00,No nuclear,1214.128171389216
2021-02-02 15:00:00,No nuclear,1258.9935639929886
2021-02-02 18:00:00,No nuclear,1287.4103920770995
2021-02-02 21:00:00,No nuclear,1287.4103920770995
2021-02-03 00:00:00,No nuclear,1287.4103920770995
2021-02-03 03:00:00,No nuclear,1287.4103920770995
2021-02-03 06:00:00,No nuclear,1320.0292831868392
2021-02-03 09:00:00,No nuclear,1363.55878090675
2021-02-03 12:00:00,No nuclear,1400.3920271725258
2021-02-03 15:00:00,No nuclear,1433.3058814620072
2021-02-03 18:00:00,No nuclear,1452.279850014386
2021-02-03 21:00:00,No nuclear,1452.279850014386
2021-02-04 00:00:00,No nuclear,1452.279850014386
2021-02-04 03:00:00,No nuclear,1452.279850014386
2021-02-04 06:00:00,No nuclear,1483.0196233815786
2021-02-04 09:00:00,No nuclear,1516.658860563992
2021-02-04 12:00:00,No nuclear,1544.730418366168
2021-02-04 15:00:00,No nuclear,1583.7702501226079
2021-02-04 18:00:00,No nuclear,1613.0082210417006
2021-02-04 21:00:00,No nuclear,1613.0082210417006
2021-02-05 00:00:00,No nuclear,1613.0082210417006
2021-02-05 03:00:00,No nuclear,1613.0082210417006
2021-02-05 06:00:00,No nuclear,1642.801301449878
2021-02-05 09:00:00,No nuclear,1677.8002220172568
2021-02-05 12:00:00,No nuclear,1704.7343401338142
2021-02-05 15:00:00,No nuclear,1733.6122137025486
2021-02-05 18:00:00,No nuclear,1748.3405251783724
2021-02-05 21:00:00,No nuclear,1748.3405251783724
2021-02-06 00:00:00,No nuclear,1748.3405251783724
2021-02-06 03:00:00,No nuclear,1748.3405251783724
2021-02-06 06:00:00,No nuclear,1748.3405251783724
2021-02-06 09:00:00,No nuclear,1748.3405251783724
2021-02-06 12:00:00,No nuclear,1748.3405251783724
2021-02-06 15:00:00,No nuclear,1748.3405251783724
2021-02-06 18:00:00,No nuclear,1748.3405251783724
2021-02-06 21:00:00,No nuclear,1748.3405251783724
2021-02-07 00:00:00,No nuclear,1748.3405251783724
