timestamp,technology,matched_reference_cf,severe_cf
2021-01-31 00:00:00,Onshore wind,0.12970475847094412,0.025940951694188773
2021-01-31 03:00:00,Onshore wind,0.14887354476333378,0.02977470895266672
2021-01-31 06:00:00,Onshore wind,0.1699058758761023,0.03398117517522042
2021-01-31 09:00:00,Onshore wind,0.10950865821449349,0.02190173164289864
2021-01-31 12:00:00,Onshore wind,0.06082272641537934,0.01216454528307583
2021-01-31 15:00:00,Onshore wind,0.10490541085238902,0.020981082170477786
2021-01-31 18:00:00,Onshore wind,0.18451171240904218,0.0369023424818084
2021-01-31 21:00:00,Onshore wind,0.21050205489459545,0.04210041097891905
2021-02-01 00:00:00,Onshore wind,0.2485528924615284,0.04971057849230562
2021-02-01 03:00:00,Onshore wind,0.265707809959838,0.053141561991967574
2021-02-01 06:00:00,Onshore wind,0.28091471206371615,0.056182942412743186
2021-02-01 09:00:00,Onshore wind,0.19942764266066204,0.03988552853213236
2021-02-01 12:00:00,Onshore wind,0.11445422053916919,0.0228908441078338
2021-02-01 15:00:00,Onshore wind,0.12017558482304393,0.024035116964608742
2021-02-01 18:00:00,Onshore wind,0.1040640216543764,0.020812804330875248
2021-02-01 21:00:00,Onshore wind,0.08287939227973092,0.016575878455946155
2021-02-02 00:00:00,Onshore wind,0.10113198479795774,0.020226396959591504
2021-02-02 03:00:00,Onshore wind,0.10411005984041277,0.02082201196808252
2021-02-02 06:00:00,Onshore wind,0.09364123974886418,0.01872824794977278
2021-02-02 09:00:00,Onshore wind,0.11077156155862125,0.022154312311724204
2021-02-02 12:00:00,Onshore wind,0.1470553885431842,0.029411077708636813
2021-02-02 15:00:00,Onshore wind,0.20563789239103894,0.04112757847820776
2021-02-02 18:00:00,Onshore wind,0.24250376935254658,0.04850075387050926
2021-02-02 21:00:00,Onshore wind,0.28331913113542095,0.05666382622708415
2021-02-03 00:00:00,Onshore wind,0.2949561298094527,0.058991225961890485
2021-02-03 03:00:00,Onshore wind,0.33936810728601496,0.06787362145720295
2021-02-03 06:00:00,Onshore wind,0.34943872708465556,0.06988774541693106
2021-02-03 09:00:00,Onshore wind,0.31265938989414627,0.06253187797882917
2021-02-03 12:00:00,Onshore wind,0.3602727581777862,0.0720545516355572
2021-02-03 15:00:00,Onshore wind,0.4866538527544807,0.0973307705508961
2021-02-03 18:00:00,Onshore wind,0.5313803070365408,0.10627606140730811
2021-02-03 21:00:00,Onshore wind,0.55956674332354,0.11191334866470792
2021-02-04 00:00:00,Onshore wind,0.5448400714115265,0.10896801428230524
2021-02-04 03:00:00,Onshore wind,0.451554070161181,0.09031081403223613
2021-02-04 06:00:00,Onshore wind,0.30793309357496157,0.06158661871499226
2021-02-04 09:00:00,Onshore wind,0.20720063619842183,0.04144012723968434
2021-02-04 12:00:00,Onshore wind,0.12108867151959458,0.024217734303918863
2021-02-04 15:00:00,Onshore wind,0.06294367078233169,0.012588734156466302
2021-02-04 18:00:00,Onshore wind,0.0858572870806161,0.017171457416123186
2021-02-04 21:00:00,Onshore wind,0.12242909964014691,0.024485819928029343
