scenario,rank,modelled_marginal_price_EUR_per_MWh,near_VOLL
Severe fossil-rich,191,19.99087605831129,False
Severe fossil-rich,192,19.99070130824076,False
Severe fossil-rich,193,19.99061339350269,False
Severe fossil-rich,194,19.989717140942748,False
Severe fossil-rich,195,19.989549100878172,False
Severe fossil-rich,196,19.989549100878165,False
Severe fossil-rich,197,19.94668030321662,False
Severe fossil-rich,198,19.108529137082886,False
Severe fossil-rich,199,19.068936283788474,False
Severe fossil-rich,200,18.998577687091494,False
Severe fossil-rich,201,18.961453964514288,False
Severe fossil-rich,202,9.64072253011277,False
Severe fossil-rich,203,9.640722530112768,False
Severe fossil-rich,204,8.495355051016729,False
Severe fossil-rich,205,6.535332130430669,False
Severe fossil-rich,206,6.2947195946482895,False
Severe fossil-rich,207,3.8370765938521996,False
Severe fossil-rich,208,3.8370765916754532,False
Severe fossil-rich,209,3.7256582492533843,False
Severe fossil-rich,210,3.696071709492472,False
Severe fossil-rich,211,3.692313851162629,False
Severe fossil-rich,212,3.640595308058828,False
Severe fossil-rich,213,0.03794967261336858,False
Severe fossil-rich,214,0.02940279074179373,False
Severe fossil-rich,215,0.029402790741793722,False
Severe fossil-rich,216,0.02940279074179372,False
Severe fossil-rich,217,0.02940279074179371,False
Severe fossil-rich,218,0.026776355615092767,False
Severe fossil-rich,219,0.025732637237826504,False
Severe fossil-rich,220,0.025713385949466025,False
Severe fossil-rich,221,0.02571338594946602,False
Severe fossil-rich,222,0.0254385824992537,False
Severe fossil-rich,223,0.0254385824992537,False
Decarbonised no nuclear,0,10000.000000000005,True
Decarbonised no nuclear,1,10000.000000000005,True
Decarbonised no nuclear,2,10000.000000000004,True
Decarbonised no nuclear,3,10000.000000000004,True
Decarbonised no nuclear,4,10000.000000000004,True
Decarbonised no nuclear,5,10000.000000000004,True
Decarbonised no nuclear,6,10000.000000000004,True
Decarbonised no nuclear,7,10000.000000000004,True
Decarbonised no nuclear,8,10000.000000000002,True
Decarbonised no nuclear,9,10000.000000000002,True
Decarbonised no nuclear,10,10000.000000000002,True
Decarbonised no nuclear,11,10000.000000000002,True
Decarbonised no nuclear,12,10000.000000000002,True
Decarbonised no nuclear,13,10000.000000000002,True
Decarbonised no nuclear,14,10000.000000000002,True
Decarbonised no nuclear,15,10000.000000000002,True
Decarbonised no nuclear,16,10000.000000000002,True
Decarbonised no nuclear,17,10000.000000000002,True
Decarbonised no nuclear,18,10000.000000000002,True
Decarbonised no nuclear,19,10000.000000000002,True
Decarbonised no nuclear,20,10000.0,True
Decarbonised no nuclear,21,10000.0,True
Decarbonised no nuclear,22,10000.0,True
Decarbonised no nuclear,23,10000.0,True
Decarbonised no nuclear,24,10000.0,True
Decarbonised no nuclear,25,10000.0,True
Decarbonised no nuclear,26,10000.0,True
Decarbonised no nuclear,27,10000.0,True
Decarbonised no nuclear,28,10000.0,True
Decarbonised no nuclear,29,10000.0,True
Decarbonised no nuclear,30,10000.0,True
Decarbonised no nuclear,31,10000.0,True
Decarbonised no nuclear,32,10000.0,True
Decarbonised no nuclear,33,10000.0,True
Decarbonised no nuclear,34,10000.0,True
Decarbonised no nuclear,35,10000.0,True
Decarbonised no nuclear,36,10000.0,True
Decarbonised no nuclear,37,10000.0,True
Decarbonised no nuclear,38,10000.0,True
Decarbonised no nuclear,39,10000.0,True
Decarbonised no nuclear,40,10000.0,True
Decarbonised no nuclear,41,10000.0,True
Decarbonised no nuclear,42,9999.999999999998,True
Decarbonised no nuclear,43,9999.999999999998,True
Decarbonised no nuclear,44,9999.999999999998,True
Decarbonised no nuclear,45,9999.999999999998,True
Decarbonised no nuclear,46,9999.999999999998,True
Decarbonised no nuclear,47,9999.999999999998,True
Decarbonised no nuclear,48,9999.999999999998,True
Decarbonised no nuclear,49,9999.999999999998,True
Decarbonised no nuclear,50,9999.999999999998,True
Decarbonised no nuclear,51,9999.999999999998,True
Decarbonised no nuclear,52,9999.999999999998,True
Decarbonised no nuclear,53,9999.999999999998,True
Decarbonised no nuclear,54,9999.999999999998,True
Decarbonised no nuclear,55,9999.999999999996,True
Decarbonised no nuclear,56,9999.999999999996,True
Decarbonised no nuclear,57,9999.999999999996,True
Decarbonised no nuclear,58,9999.999999999996,True
Decarbonised no nuclear,59,9999.999999999996,True
Decarbonised no nuclear,60,9999.999999999996,True
Decarbonised no nuclear,61,9999.999999999996,True
Decarbonised no nuclear,62,9999.999999999996,True
Decarbonised no nuclear,63,9999.999999999996,True
Decarbonised no nuclear,64,9999.999999999996,True
Decarbonised no nuclear,65,9999.999999999996,True
Decarbonised no nuclear,66,9999.999999999996,True
Decarbonised no nuclear,67,9999.999999999995,True
Decarbonised no nuclear,68,9999.999999999995,True
Decarbonised no nuclear,69,124.77743453131909,False
Decarbonised no nuclear,70,124.77733329237441,False
Decarbonised no nuclear,71,124.77722308915202,False
Decarbonised no nuclear,72,124.77720108099533,False
Decarbonised no nuclear,73,124.171027056071,False
Decarbonised no nuclear,74,124.17102705607098,False
Decarbonised no nuclear,75,124.17102705607098,False
Decarbonised no nuclear,76,124.17102705607098,False
Decarbonised no nuclear,77,124.17102705607098,False
Decarbonised no nuclear,78,124.17102705607098,False
